"Table 1. Per Capita Personal Income, by County, 2018–2020",,,,,,,
,Per capita personal income1,,,,Percent change from preceding period,,
,Dollars,,,Rank in state,Percent change,,Rank in state
Randolph,"33,255","33,640","36,401",48,1.2,8.2,18
St. Francis,"27,247","28,560","30,903",73,4.8,8.2,19
Saline,"42,462","43,233","45,692",5,1.8,5.7,49
Scott,"31,276","30,901","32,290",69,-1.2,4.5,64
Searcy,"27,323","28,270","31,657",72,3.5,12.0,8
Sebastian,"41,479","43,310","45,586",6,4.4,5.3,58
Sevier,"32,556","31,719","32,926",63,-2.6,3.8,67
Sharp,"34,120","34,281","35,612",51,0.5,3.9,66
Stone,"30,761","31,171","32,753",64,1.3,5.1,60
Union,"43,867","46,081","48,669",4,5.0,5.6,51
Van Buren,"30,616","31,752","34,482",54,3.7,8.6,16
Washington,"40,194","41,643","43,817",11,3.6,5.2,59
White,"36,105","37,110","39,598",29,2.8,6.7,37
Woodruff,"36,784","37,638","45,248",7,2.3,20.2,1
Yell,"33,652","33,074","33,506",61,-1.7,1.3,73
,,,,,,,
California,"61,663","64,513","70,192",--,4.6,8.8,--
Alameda,"75,354","78,839","87,078",6,4.6,10.5,28
Alpine,"76,104","79,701","76,175",8,4.7,-4.4,58
Amador,"42,466","43,979","47,721",44,3.6,8.5,39
Butte,"42,441","45,175","50,279",37,6.4,11.3,23
Calaveras,"46,818","48,460","53,026",31,3.5,9.4,34
Colusa,"46,623","44,661","57,382",27,-4.2,28.5,1
Contra Costa,"79,641","84,614","92,264",5,6.2,9.0,35
Del Norte,"35,017","36,092","40,192",58,3.1,11.4,22
El Dorado,"65,806","68,125","72,662",11,3.5,6.7,55
Fresno,"41,248","43,019","48,495",43,4.3,12.7,16
Glenn,"43,449","43,247","52,219",33,-0.5,20.7,2
Humboldt,"44,438","46,072","50,182",38,3.7,8.9,36
Imperial,"35,331","37,196","44,500",53,5.3,19.6,3
Inyo,"57,444","60,229","64,335",19,4.8,6.8,52
Kern,"38,079","39,559","44,721",51,3.9,13.0,13
Kings,"35,267","36,442","41,829",56,3.3,14.8,10
Lake,"40,669","42,144","47,144",45,3.6,11.9,20
Lassen,"34,970","35,581","40,490",57,1.7,13.8,11
Los Angeles,"59,874","63,043","68,272",14,5.3,8.3,40
Madera,"37,373","38,751","44,532",52,3.7,14.9,9
Marin,"132,000","138,903","145,575",1,5.2,4.8,57
Mariposa,"51,530","53,861","57,828",26,4.5,7.4,47
Mendocino,"47,694","49,803","54,795",29,4.4,10.0,31
Merced,"37,193","37,952","43,914",54,2.0,15.7,6
Modoc,"43,881","45,375","52,779",32,3.4,16.3,4
Mono,"46,598","49,356","54,586",30,5.9,10.6,26
Monterey,"53,625","56,545","61,510",21,5.4,8.8,38
Napa,"70,161","73,886","82,408",7,5.3,11.5,21
Nevada,"58,685","60,689","64,876",18,3.4,6.9,51
Orange,"67,044","69,951","74,618",10,4.3,6.7,54
Placer,"65,547","67,610","72,279",12,3.1,6.9,50
Plumas,"49,485","51,044","55,029",28,3.2,7.8,45
Riverside,"39,955","41,385","45,834",49,3.6,10.8,25
Sacramento,"51,187","53,278","58,307",25,4.1,9.4,33
San Benito,"50,703","52,806","60,807",22,4.1,15.2,7
San Bernardino,"38,781","40,537","44,831",50,4.5,10.6,27
San Diego,"58,719","60,845","66,266",17,3.6,8.9,37
San Francisco,"129,280","133,856","144,818",2,3.5,8.2,42
San Joaquin,"43,077","45,075","51,816",34,4.6,15.0,8
San Luis Obispo,"55,913","58,693","62,342",20,5.0,6.2,56
San Mateo,"125,332","132,133","141,841",3,5.4,7.3,48
Santa Barbara,"60,818","62,715","67,879",15,3.1,8.2,41
Santa Clara,"108,344","114,649","123,661",4,5.8,7.9,44
Santa Cruz,"65,751","68,990","75,957",9,4.9,10.1,29
Shasta,"44,549","46,417","51,649",35,4.2,11.3,24
Sierra,"42,769","45,432","49,139",41,6.2,8.2,43
Siskiyou,"42,887","44,158","49,664",40,3.0,12.5,18
Solano,"49,336","51,889","58,688",23,5.2,13.1,12
Sonoma,"61,501","64,869","71,386",13,5.5,10.0,30
Stanislaus,"41,850","43,402","48,954",42,3.7,12.8,15
Sutter,"43,336","45,054","50,730",36,4.0,12.6,17
Tehama,"39,460","40,775","46,007",48,3.3,12.8,14
Trinity,"38,249","39,959","43,877",55,4.5,9.8,32
Tulare,"38,613","40,040","46,348",47,3.7,15.8,5
Tuolumne,"44,695","46,166","49,708",39,3.3,7.7,46
Ventura,"60,238","63,190","67,422",16,4.9,6.7,53
Yolo,"51,690","54,398","58,391",24,5.2,7.3,49
Yuba,"40,196","41,384","46,373",46,3.0,12.1,19
,,,,,,,
Colorado,"58,267","60,848","63,776",--,4.4,4.8,--
Adams,"43,482","45,026","48,115",40,3.6,6.9,38
Alamosa,"36,671","38,403","42,974",52,4.7,11.9,17
Arapahoe,"61,243","63,741","66,691",15,4.1,4.6,53
Archuleta,"42,313","43,253","46,287",46,2.2,7.0,37
Baca,"41,283","39,076","53,223",27,-5.3,36.2,1
Bent,"27,096","29,253","33,591",63,8.0,14.8,9
