"Table 1. Per Capita Personal Income, by County, 2018–2020",,,,,,,
,Per capita personal income1,,,,Percent change from preceding period,,
,Dollars,,,Rank in state,Percent change,,Rank in state
Washington,"57,480","60,857","59,565",8,5.9,-2.1,99
Wayne,"42,610","42,605","46,743",78,0.0,9.7,4
Webster,"44,853","46,562","48,862",67,3.8,4.9,77
Winnebago,"42,605","42,377","45,722",84,-0.5,7.9,25
Winneshiek,"48,612","49,610","54,036",33,2.1,8.9,13
Woodbury,"43,130","44,690","47,731",73,3.6,6.8,39
Worth,"40,467","41,710","45,566",86,3.1,9.2,8
Wright,"51,879","48,770","52,825",40,-6.0,8.3,21
,,,,,,,
Kansas,"51,139","53,203","56,099",--,4.0,5.4,--
Allen,"39,665","42,756","45,840",80,7.8,7.2,75
Anderson,"38,277","39,196","43,864",95,2.4,11.9,31
Atchison,"38,114","39,743","42,974",100,4.3,8.1,63
Barber,"42,895","43,570","49,804",52,1.6,14.3,21
Barton,"45,018","47,429","49,436",53,5.4,4.2,100
Bourbon,"45,029","41,792","44,521",90,-7.2,6.5,84
Brown,"45,226","45,349","48,026",62,0.3,5.9,89
Butler,"46,265","48,192","50,789",48,4.2,5.4,91
Chase,"51,234","50,941","56,852",25,-0.6,11.6,33
Chautauqua,"40,456","41,514","44,908",85,2.6,8.2,61
Cherokee,"40,588","41,760","44,739",88,2.9,7.1,76
Cheyenne,"45,903","45,768","54,465",35,-0.3,19.0,7
Clark,"54,118","54,420","60,647",14,0.6,11.4,34
Clay,"41,849","43,526","47,126",67,4.0,8.3,60
Cloud,"38,195","39,807","44,452",91,4.2,11.7,32
Coffey,"52,834","52,701","56,988",24,-0.3,8.1,62
Comanche,"42,445","40,844","46,141",78,-3.8,13.0,25
Cowley,"37,835","39,690","42,334",103,4.9,6.7,82
Crawford,"37,947","39,587","42,963",101,4.3,8.5,55
Decatur,"42,366","43,934","51,018",46,3.7,16.1,12
Dickinson,"41,120","42,873","47,348",65,4.3,10.4,39
Doniphan,"39,552","42,643","44,885",86,7.8,5.3,92
Douglas,"43,888","45,174","47,494",64,2.9,5.1,94
Edwards,"54,395","53,549","61,904",10,-1.6,15.6,15
Elk,"38,988","38,779","42,431",102,-0.5,9.4,47
Ellis,"45,419","47,072","50,785",49,3.6,7.9,67
Ellsworth,"43,626","46,178","47,276",66,5.8,2.4,103
Finney,"43,473","43,588","46,899",69,0.3,7.6,71
Ford,"39,188","40,145","45,081",84,2.4,12.3,29
Franklin,"42,645","43,930","46,437",75,3.0,5.7,90
Geary,"49,684","52,022","54,663",33,4.7,5.1,95
Gove,"57,091","56,396","61,150",11,-1.2,8.4,58
Graham,"48,953","49,939","56,190",30,2.0,12.5,27
Grant,"46,105","43,820","44,835",87,-5.0,2.3,104
Gray,"60,129","57,854","60,355",17,-3.8,4.3,99
Greeley,"72,675","66,094","89,737",1,-9.1,35.8,2
Greenwood,"40,959","41,837","46,032",79,2.1,10.0,42
Hamilton,"54,743","55,843","75,840",4,2.0,35.8,1
Harper,"46,455","52,777","57,870",21,13.6,9.7,45
Harvey,"42,453","43,822","46,698",71,3.2,6.6,83
Haskell,"61,737","52,604","56,311",28,-14.8,7.0,78
Hodgeman,"53,439","53,124","61,030",13,-0.6,14.9,20
Jackson,"42,018","43,163","46,523",74,2.7,7.8,70
Jefferson,"44,870","44,598","48,099",61,-0.6,7.9,68
Jewell,"49,161","49,336","55,860",32,0.4,13.2,24
Johnson,"74,892","78,670","80,681",3,5.0,2.6,102
Kearny,"50,336","52,915","61,932",9,5.1,17.0,10
Kingman,"43,294","46,275","50,889",47,6.9,10.0,43
Kiowa,"41,155","40,295","48,250",59,-2.1,19.7,5
Labette,"41,834","42,939","47,114",68,2.6,9.7,44
Lane,"69,738","66,005","72,211",5,-5.4,9.4,49
Leavenworth,"42,890","44,060","46,176",77,2.7,4.8,97
Lincoln,"41,892","43,879","52,328",42,4.7,19.3,6
Linn,"38,793","40,714","44,155",93,5.0,8.5,57
Logan,"45,656","48,091","57,732",22,5.3,20.0,4
Lyon,"38,347","38,840","43,035",99,1.3,10.8,38
McPherson,"51,311","55,906","58,438",20,9.0,4.5,98
Marion,"41,646","42,603","46,588",73,2.3,9.4,50
Marshall,"43,181","43,858","48,358",58,1.6,10.3,40
Meade,"57,132","60,265","65,633",6,5.5,8.9,53
Miami,"48,650","49,837","52,811",40,2.4,6.0,88
Mitchell,"56,707","60,282","63,384",8,6.3,5.1,93
Montgomery,"36,907","37,469","40,651",104,1.5,8.5,56
Morris,"43,885","42,993","48,171",60,-2.0,12.0,30
Morton,"44,732","44,985","54,151",37,0.6,20.4,3
Nemaha,"51,821","51,253","56,013",31,-1.1,9.3,51
Neosho,"38,823","40,400","43,566",97,4.1,7.8,69
Ness,"49,497","52,570","60,508",16,6.2,15.1,17
Norton,"40,991","42,973","47,679",63,4.8,11.0,36
Osage,"42,142","42,799","46,698",71,1.6,9.1,52
Osborne,"47,012","47,340","51,423",44,0.7,8.6,54
Ottawa,"41,390","41,714","45,692",81,0.8,9.5,46
Pawnee,"39,112","41,101","43,986",94,5.1,7.0,79
Phillips,"49,888","51,310","56,496",27,2.9,10.1,41
Pottawatomie,"53,433","53,697","57,495",23,0.5,7.1,77
Pratt,"46,936","49,737","53,750",38,6.0,8.1,65
Rawlins,"49,858","56,570","65,230",7,13.5,15.3,16
Reno,"39,799","41,671","44,529",89,4.7,6.9,80
Republic,"42,539","44,316","49,163",54,4.2,10.9,37
Rice,"41,936","43,331","46,275",76,3.3,6.8,81
Riley,"41,618","43,056","45,177",83,3.5,4.9,96
Rooks,"39,438","39,555","46,817",70,0.3,18.4,8
Rush,"46,274","50,981","59,190",18,10.2,16.1,13
Russell,"43,822","44,875","48,430",57,2.4,7.9,66
Saline,"49,201","50,099","53,320",39,1.8,6.4,86
Scott,"56,898","55,993","60,520",15,-1.6,8.1,64
Sedgwick,"51,889","54,385","56,550",26,4.8,4.0,101
Seward,"37,915","38,254","43,606",96,0.9,14.0,23
Shawnee,"46,809","48,091","51,216",45,2.7,6.5,85
Sheridan,"44,948","44,967","50,691",50,0.0,12.7,26
Sherman,"43,189","42,422","48,439",56,-1.8,14.2,22
Smith,"43,589","46,587","54,497",34,6.9,17.0,11
Stafford,"45,168","46,272","50,623",51,2.4,9.4,48
Stanton,"60,721","73,965","85,633",2,21.8,15.8,14
Stevens,"40,348","43,272","48,686",55,7.2,12.5,28
Sumner,"38,422","41,335","44,392",92,7.6,7.4,73
Thomas,"46,960","47,934","51,457",43,2.1,7.3,74
Trego,"47,748","48,982","56,311",28,2.6,15.0,19
Wabaunsee,"50,961","51,245","54,428",36,0.6,6.2,87
Wallace,"51,176","50,175","59,159",19,-2.0,17.9,9
Washington,"44,312","45,852","52,731",41,3.5,15.0,18
Wichita,"61,298","61,878","61,032",12,0.9,-1.4,105
Wilson,"41,460","41,838","45,341",82,0.9,8.4,59
Woodson,"37,622","39,032","43,381",98,3.7,11.1,35
Wyandotte,"33,097","34,371","36,961",105,3.8,7.5,72
,,,,,,,
Kentucky,"42,193","43,881","47,339",--,4.0,7.9,--
Adair,"31,196","32,066","35,880",100,2.8,11.9,31
Allen,"32,132","33,024","35,499",107,2.8,7.5,100
Anderson,"39,371","40,950","44,009",30,4.0,7.5,101
Ballard,"36,585","40,587","45,124",25,10.9,11.2,45
Barren,"36,026","37,800","41,057",55,4.9,8.6,82
Bath,"30,462","31,578","35,333",109,3.7,11.9,32
Bell,"29,313","30,262","34,618",111,3.2,14.4,11
Boone,"48,353","50,183","53,405",7,3.8,6.4,111
Bourbon,"47,826","50,326","51,624",9,5.2,2.6,119
Boyd,"39,009","40,201","43,917",32,3.1,9.2,69
Boyle,"37,604","39,983","43,024",37,6.3,7.6,97
Bracken,"36,913","38,343","42,258",45,3.9,10.2,57
Breathitt,"33,430","34,070","38,011",83,1.9,11.6,37
Breckinridge,"33,473","35,124","39,084",74,4.9,11.3,43
Bullitt,"41,649","43,110","46,618",18,3.5,8.1,91
Butler,"33,858","35,294","38,969",75,4.2,10.4,55
Caldwell,"33,420","35,425","40,364",62,6.0,13.9,14
Calloway,"34,946","36,114","38,629",79,3.3,7.0,106
Campbell,"48,173","50,368","53,445",6,4.6,6.1,112
Carlisle,"39,301","44,953","48,900",13,14.4,8.8,78
Carroll,"36,325","38,068","41,568",49,4.8,9.2,72
Carter,"30,632","31,902","36,002",99,4.1,12.9,25
Casey,"30,470","31,686","36,436",98,4.0,15.0,6
Christian,"38,002","39,298","42,884",39,3.4,9.1,74
Clark,"39,125","40,745","43,952",31,4.1,7.9,95
Clay,"30,169","30,760","35,259",110,2.0,14.6,7
Clinton,"31,305","31,584","35,609",106,0.9,12.7,28
Crittenden,"34,576","36,302","39,879",65,5.0,9.9,61
Cumberland,"33,925","35,993","44,628",28,6.1,24.0,1
Daviess,"41,251","42,741","46,373",21,3.6,8.5,84
Edmonson,"32,648","34,265","37,223",91,5.0,8.6,81
Elliott,"22,422","23,090","27,001",120,3.0,16.9,2
Estill,"31,910","32,995","36,569",95,3.4,10.8,48
Fayette,"49,847","51,983","54,824",5,4.3,5.5,115
Fleming,"33,854","35,038","39,846",66,3.5,13.7,17
Floyd,"36,191","37,129","41,330",51,2.6,11.3,41
Franklin,"41,900","43,522","47,009",17,3.9,8.0,92
Fulton,"32,521","35,227","39,745",67,8.3,12.8,26
Gallatin,"33,110","34,201","38,178",81,3.3,11.6,35
Garrard,"34,478","35,501","38,822",77,3.0,9.4,66
Grant,"35,850","37,427","40,772",59,4.4,8.9,76
Graves,"37,254","38,693","42,264",44,3.9,9.2,70
Grayson,"33,270","34,969","38,959",76,5.1,11.4,40
Green,"33,685","35,099","39,882",64,4.2,13.6,19
Greenup,"41,068","42,131","45,897",23,2.6,8.9,75
Hancock,"37,317","40,862","40,261",63,9.5,-1.5,120
Hardin,"42,599","44,464","47,873",14,4.4,7.7,96
Harlan,"30,308","31,441","35,824",101,3.7,13.9,16
Harrison,"35,113","36,846","41,079",54,4.9,11.5,38
Hart,"32,627","34,228","37,418",87,4.9,9.3,67
Henderson,"39,088","41,329","44,793",26,5.7,8.4,86
Henry,"38,129","39,893","43,426",34,4.6,8.9,77
Hickman,"41,701","43,207","46,425",20,3.6,7.4,102
Hopkins,"38,823","40,219","42,918",38,3.6,6.7,107
Jackson,"28,515","29,905","33,106",115,4.9,10.7,49
Jefferson,"52,081","54,293","57,863",3,4.2,6.6,109
Jessamine,"44,884","46,769","49,406",11,4.2,5.6,114
Johnson,"32,985","34,442","37,769",85,4.4,9.7,63
Kenton,"56,075","58,917","62,500",2,5.1,6.1,113
Knott,"30,385","31,517","35,697",105,3.7,13.3,23
Knox,"28,882","29,841","33,797",113,3.3,13.3,24
Larue,"36,712","38,332","42,333",43,4.4,10.4,54
Laurel,"33,576","34,265","37,869",84,2.1,10.5,51
Lawrence,"31,567","33,031","36,446",97,4.6,10.3,56
Lee,"29,693","28,755","32,694",116,-3.2,13.7,18
Leslie,"32,599","34,057","38,666",78,4.5,13.5,20
Letcher,"30,524","31,560","35,770",104,3.4,13.3,21
Lewis,"31,032","32,167","36,806",93,3.7,14.4,10
Lincoln,"31,806","33,549","37,303",89,5.5,11.2,44
Livingston,"36,807","38,644","43,379",35,5.0,12.3,29
Logan,"34,830","37,061","40,963",57,6.4,10.5,50
Lyon,"35,847","37,823","40,843",58,5.5,8.0,93
McCracken,"46,576","48,517","52,171",8,4.2,7.5,99
McCreary,"25,887","26,649","30,943",119,2.9,16.1,3
McLean,"38,981","39,825","43,162",36,2.2,8.4,87
Madison,"35,177","35,969","39,093",73,2.3,8.7,80
Magoffin,"31,530","33,307","38,033",82,5.6,14.2,12
Marion,"36,362","37,733","41,225",52,3.8,9.3,68
Marshall,"40,296","42,509","45,975",22,5.5,8.2,90
Martin,"29,474","29,194","32,383",117,-0.9,10.9,46
Mason,"39,302","41,414","45,488",24,5.4,9.8,62
Meade,"39,332","41,449","44,720",27,5.4,7.9,94
Menifee,"30,364","31,719","35,489",108,4.5,11.9,33
Mercer,"36,717","37,891","41,025",56,3.2,8.3,89
Metcalfe,"30,599","31,968","35,804",103,4.5,12.0,30
Monroe,"35,891","37,421","42,638",40,4.3,13.9,15
Montgomery,"34,516","36,141","39,549",68,4.7,9.4,65
Morgan,"26,967","28,308","31,500",118,5.0,11.3,42
Muhlenberg,"33,531","34,807","37,328",88,3.8,7.2,104
Nelson,"42,510","44,101","47,784",15,3.7,8.4,88
Nicholas,"34,082","35,360","39,531",69,3.7,11.8,34
Ohio,"32,508","33,140","36,606",94,1.9,10.5,53
Oldham,"63,867","66,583","68,986",1,4.3,3.6,116
Owen,"33,466","33,906","37,464",86,1.3,10.5,52
Owsley,"31,469","32,179","36,830",92,2.3,14.5,9
Pendleton,"43,704","45,354","46,524",19,3.8,2.6,118
Perry,"37,606","38,701","43,661",33,2.9,12.8,27
Pike,"36,501","35,833","39,450",71,-1.8,10.1,58
Powell,"31,713","32,497","37,224",90,2.5,14.5,8
Pulaski,"36,879","38,331","41,989",46,3.9,9.5,64
Robertson,"32,518","33,813","39,137",72,4.0,15.7,5
Rockcastle,"30,817","32,301","35,809",102,4.8,10.9,47
Rowan,"30,915","31,654","34,561",112,2.4,9.2,73
Russell,"36,043","37,449","40,672",61,3.9,8.6,83
Scott,"43,176","44,391","47,509",16,2.8,7.0,105
Shelby,"45,299","46,655","50,602",10,3.0,8.5,85
Simpson,"37,218","38,943","42,537",41,4.6,9.2,71
Spencer,"44,245","45,606","49,066",12,3.1,7.6,98
Taylor,"34,064","35,388","39,488",70,3.9,11.6,36
Todd,"36,274","38,800","41,672",48,7.0,7.4,103
Trigg,"36,342","38,177","41,497",50,5.0,8.7,79
Trimble,"38,405","40,200","44,227",29,4.7,10.0,59
Union,"33,388","36,328","41,157",53,8.8,13.3,22
Warren,"37,256","38,153","40,705",60,2.4,6.7,108
Washington,"37,413","38,091","41,902",47,1.8,10.0,60
Wayne,"28,725","29,160","33,258",114,1.5,14.1,13
Webster,"38,399","39,887","42,496",42,3.9,6.5,110
Whitley,"33,163","34,331","38,256",80,3.5,11.4,39
Wolfe,"31,056","31,477","36,449",96,1.4,15.8,4
Woodford,"50,920","53,192","54,911",4,4.5,3.2,117
,,,,,,,
Louisiana,"46,117","47,670","50,874",--,3.4,6.7,--
Acadia,"37,000","37,337","40,916",49,0.9,9.6,12
Allen,"33,920","34,997","37,054",60,3.2,5.9,51
Ascension,"50,003","51,516","54,395",7,3.0,5.6,56
Assumption,"47,374","49,020","51,585",12,3.5,5.2,58
Avoyelles,"37,552","38,588","41,977",44,2.8,8.8,21
Beauregard,"42,466","43,502","47,003",20,2.4,8.0,26
Bienville,"38,210","38,881","42,372",42,1.8,9.0,18
Bossier,"44,292","45,535","48,907",17,2.8,7.4,33
Caddo,"48,822","50,376","55,047",6,3.2,9.3,16
Calcasieu,"48,576","49,562","50,994",14,2.0,2.9,62
Caldwell,"33,264","34,840","38,705",52,4.7,11.1,9
Cameron,"46,786","48,227","49,224",16,3.1,2.1,63
Catahoula,"32,534","34,749","39,357",50,6.8,13.3,7
Claiborne,"33,499","34,115","36,281",61,1.8,6.3,43
Concordia,"32,179","33,666","38,891",51,4.6,15.5,3
De Soto,"41,279","42,314","45,615",30,2.5,7.8,29
East Baton Rouge,"51,486","53,223","56,484",4,3.4,6.1,47
East Carroll,"34,245","35,331","41,875",45,3.2,18.5,1
East Feliciana,"41,245","42,654","44,787",34,3.4,5.0,60
Evangeline,"32,682","33,380","37,820",56,2.1,13.3,6
Franklin,"31,338","32,965","37,754",57,5.2,14.5,5
Grant,"30,911","31,756","34,870",64,2.7,9.8,10
Iberia,"39,161","41,006","44,242",35,4.7,7.9,28
Iberville,"41,120","43,494","46,461",21,5.8,6.8,38
Jackson,"33,451","34,499","37,665",58,3.1,9.2,17
Jefferson,"50,428","51,950","55,373",5,3.0,6.6,42
Jefferson Davis,"41,482","42,513","45,620",28,2.5,7.3,35
Lafayette,"49,004","49,632","52,507",9,1.3,5.8,54
Lafourche,"44,617","45,884","48,741",19,2.8,6.2,45
LaSalle,"31,663","33,808","36,116",62,6.8,6.8,37
Lincoln,"39,587","42,155","44,944",33,6.5,6.6,41
Livingston,"42,712","43,122","45,620",28,1.0,5.8,53
Madison,"31,209","32,651","38,337",54,4.6,17.4,2
Morehouse,"37,277","39,290","44,187",36,5.4,12.5,8
Natchitoches,"39,755","41,113","43,702",38,3.4,6.3,44
Orleans,"51,494","53,142","57,421",2,3.2,8.1,25
Ouachita,"41,180","42,164","45,661",27,2.4,8.3,24
Plaquemines,"47,787","48,482","51,456",13,1.5,6.1,46
Pointe Coupee,"46,073","48,688","52,332",10,5.7,7.5,31
Rapides,"44,779","46,666","50,226",15,4.2,7.6,30
Red River,"44,816","42,778","45,680",26,-4.5,6.8,39
Richland,"37,104","38,908","42,644",40,4.9,9.6,11
Sabine,"35,136","36,280","38,190",55,3.3,5.3,57
St. Bernard,"31,809","32,956","36,093",63,3.6,9.5,13
St. Charles,"48,688","50,137","53,148",8,3.0,6.0,50
St. Helena,"43,721","44,753","48,743",18,2.4,8.9,19
St. James,"51,349","53,762","56,880",3,4.7,5.8,52
St. John the Baptist,"40,383","42,329","45,927",24,4.8,8.5,23
St. Landry,"40,083","42,357","46,131",22,5.7,8.9,20
St. Martin,"38,074","39,293","42,203",43,3.2,7.4,32
St. Mary,"39,626","41,877","45,760",25,5.7,9.3,15
St. Tammany,"64,928","68,914","70,190",1,6.1,1.9,64
Tangipahoa,"37,928","38,963","41,792",46,2.7,7.3,36
Tensas,"37,402","41,879","44,043",37,12.0,5.2,59
Terrebonne,"41,236","42,545","45,942",23,3.2,8.0,27
Union,"40,170","41,110","43,609",39,2.3,6.1,48
Vermilion,"39,150","40,111","42,526",41,2.5,6.0,49
Vernon,"40,793","42,488","45,320",31,4.2,6.7,40
Washington,"33,530","35,224","38,515",53,5.1,9.3,14
Webster,"39,901","41,473","45,088",32,3.9,8.7,22
West Baton Rouge,"47,177","49,018","51,758",11,3.9,5.6,55
West Carroll,"34,570","32,175","37,148",59,-6.9,15.5,4
West Feliciana,"38,264","39,414","41,145",48,3.0,4.4,61
Winn,"35,988","38,645","41,491",47,7.4,7.4,34
,,,,,,,
Maine,"48,594","50,421","54,211",--,3.8,7.5,--
Androscoggin,"40,869","42,698","46,357",11,4.5,8.6,5
Aroostook,"40,917","42,664","47,605",8,4.3,11.6,2
Cumberland,"62,198","64,361","68,237",1,3.5,6.0,14
Franklin,"38,681","40,425","43,276",13,4.5,7.1,10
Hancock,"50,442","52,016","55,393",4,3.1,6.5,13
Kennebec,"44,735","46,677","50,469",7,4.3,8.1,7
Knox,"49,849","51,685","54,363",5,3.7,5.2,16
Lincoln,"49,933","51,621","54,300",6,3.4,5.2,15
Oxford,"37,756","38,988","42,327",16,3.3,8.6,6
Penobscot,"41,554","43,083","47,315",10,3.7,9.8,4
Piscataquis,"38,677","39,349","42,527",15,1.7,8.1,8
Sagadahoc,"50,918","52,383","55,965",3,2.9,6.8,11
Somerset,"37,605","39,093","43,134",14,4.0,10.3,3
Waldo,"41,442","44,116","47,495",9,6.5,7.7,9
Washington,"39,602","40,813","45,558",12,3.1,11.6,1
York,"52,537","54,396","58,038",2,3.5,6.7,12
,,,,,,,
Maryland,"61,600","62,989","66,799",--,2.3,6.0,--
Allegany,"39,391","40,687","43,970",23,3.3,8.1,3
Anne Arundel,"66,510","68,314","72,197",4,2.7,5.7,17
Baltimore,"59,695","62,543","66,585",8,4.8,6.5,10
Calvert,"61,389","63,247","66,469",9,3.0,5.1,21
Caroline,"44,700","45,657","48,393",21,2.1,6.0,15
Carroll,"61,328","63,409","66,901",6,3.4,5.5,19
Cecil,"47,516","48,834","51,853",17,2.8,6.2,13
Charles,"55,839","57,196","61,324",12,2.4,7.2,7
Dorchester,"44,828","46,514","49,921",19,3.8,7.3,5
Frederick,"61,728","62,804","66,664",7,1.7,6.1,14
Garrett,"43,822","45,630","48,630",20,4.1,6.6,8
Harford,"57,839","59,653","63,432",11,3.1,6.3,11
Howard,"76,499","78,033","81,969",2,2.0,5.0,22
Kent,"58,935","60,407","64,331",10,2.5,6.5,9
Montgomery,"86,316","86,221","89,552",1,-0.1,3.9,24
Prince George's,"48,421","49,947","54,195",15,3.2,8.5,1
Queen Anne's,"63,043","64,996","67,861",5,3.1,4.4,23
St. Mary's,"56,372","57,891","61,144",13,2.7,5.6,18
Somerset,"29,978","30,623","32,531",24,2.2,6.2,12
Talbot,"70,343","72,729","76,528",3,3.4,5.2,20
Washington,"45,700","47,071","50,493",18,3.0,7.3,6
Wicomico,"40,321","41,134","44,184",22,2.0,7.4,4
Worcester,"56,079","56,536","59,881",14,0.8,5.9,16
Baltimore City,"49,219","49,964","54,097",16,1.5,8.3,2
,,,,,,,
Massachusetts,"70,610","73,477","78,458",--,4.1,6.8,--
Barnstable,"71,735","75,339","80,420",6,5.0,6.7,9
Berkshire,"55,947","57,300","61,872",10,2.4,8.0,5
Bristol,"53,044","55,411","61,031",11,4.5,10.1,1
Dukes,"87,311","87,121","89,757",5,-0.2,3.0,13
Essex,"66,196","68,854","74,519",7,4.0,8.2,4
Franklin,"54,032","55,859","59,853",12,3.4,7.2,8
Hampden,"51,183","52,905","57,821",13,3.4,9.3,2
Hampshire,"52,165","53,816","57,030",14,3.2,6.0,10
Middlesex,"82,826","86,525","90,688",3,4.5,4.8,12
Nantucket,"113,809","115,305","114,832",1,1.3,-0.4,14
Norfolk,"90,442","93,470","98,019",2,3.3,4.9,11
Plymouth,"66,219","68,792","74,034",8,3.9,7.6,6
Suffolk,"80,916","84,307","90,571",4,4.2,7.4,7
Worcester,"55,971","58,196","63,286",9,4.0,8.7,3
,,,,,,,
Michigan,"47,708","49,277","53,259",--,3.3,8.1,--
Alcona,"38,678","40,579","44,953",44,4.9,10.8,33
Alger,"33,280","34,032","37,951",80,2.3,11.5,21
Allegan,"45,086","46,185","50,091",24,2.4,8.5,64
Alpena,"40,050","41,212","45,685",38,2.9,10.9,32
Antrim,"46,307","48,432","52,490",13,4.6,8.4,65
Arenac,"37,333","38,639","43,466",56,3.5,12.5,10
Baraga,"32,398","34,274","38,750",78,5.8,13.1,8
Barry,"44,431","45,920","49,232",26,3.4,7.2,72
Bay,"42,286","43,554","47,786",30,3.0,9.7,52
Benzie,"44,188","45,896","50,509",20,3.9,10.1,49
Berrien,"47,325","48,231","52,395",15,1.9,8.6,63
Branch,"36,349","37,942","42,356",60,4.4,11.6,18
Calhoun,"39,189","40,428","44,729",49,3.2,10.6,36
Cass,"44,529","45,216","50,365",21,1.5,11.4,23
Charlevoix,"51,899","53,133","57,289",8,2.4,7.8,70
Cheboygan,"38,602","40,138","44,801",48,4.0,11.6,20
Chippewa,"33,642","35,284","39,693",72,4.9,12.5,9
Clare,"34,501","34,619","38,655",79,0.3,11.7,17
Clinton,"46,013","47,341","51,053",19,2.9,7.8,69
Crawford,"34,583","35,237","39,405",74,1.9,11.8,16
Delta,"39,332","40,957","45,260",42,4.1,10.5,38
Dickinson,"47,908","48,949","53,526",11,2.2,9.4,57
Eaton,"42,326","43,537","47,407",32,2.9,8.9,60
Emmet,"55,980","58,548","62,918",4,4.6,7.5,71
Genesee,"40,495","41,940","46,152",34,3.6,10.0,50
Gladwin,"36,249","37,307","40,772",68,2.9,9.3,58
Gogebic,"39,296","43,769","47,894",29,11.4,9.4,55
Grand Traverse,"50,582","52,631","56,861",9,4.1,8.0,68
Gratiot,"36,786","37,530","42,067",63,2.0,12.1,13
Hillsdale,"35,290","35,801","39,404",75,1.4,10.1,46
Houghton,"37,069","38,870","42,884",59,4.9,10.3,41
Huron,"44,793","45,933","53,638",10,2.5,16.8,1
Ingham,"39,912","41,298","44,957",43,3.5,8.9,61
Ionia,"34,824","35,503","39,366",76,1.9,10.9,31
Iosco,"36,720","38,943","43,618",55,6.1,12.0,15
Iron,"43,659","45,446","49,153",27,4.1,8.2,67
Isabella,"34,961","36,275","40,021",70,3.8,10.3,42
Jackson,"39,359","40,413","44,889",45,2.7,11.1,26
Kalamazoo,"47,968","49,305","52,403",14,2.8,6.3,77
Kalkaska,"35,103","36,085","41,545",65,2.8,15.1,3
Kent,"52,153","53,799","57,397",7,3.2,6.7,75
Keweenaw,"46,617","48,537","51,972",18,4.1,7.1,73
Lake,"33,117","34,379","39,507",73,3.8,14.9,5
Lapeer,"43,493","44,862","49,441",25,3.1,10.2,43
Leelanau,"66,770","69,373","73,238",2,3.9,5.6,81
Lenawee,"39,559","40,866","44,821",47,3.3,9.7,53
Livingston,"57,832","59,097","62,622",5,2.2,6.0,78
Luce,"30,740","31,604","36,339",83,2.8,15.0,4
Mackinac,"43,071","44,986","50,217",22,4.4,11.6,19
Macomb,"46,350","47,730","52,195",16,3.0,9.4,56
Manistee,"39,516","40,663","44,382",51,2.9,9.1,59
Marquette,"39,083","40,284","44,445",50,3.1,10.3,40
Mason,"40,297","41,185","45,326",40,2.2,10.1,47
Mecosta,"33,334","33,868","37,579",81,1.6,11.0,28
Menominee,"42,485","43,943","47,594",31,3.4,8.3,66
Midland,"53,973","54,477","57,561",6,0.9,5.7,80
Missaukee,"34,818","35,914","40,298",69,3.1,12.2,11
Monroe,"47,091","48,696","52,028",17,3.4,6.8,74
Montcalm,"34,427","35,911","40,018",71,4.3,11.4,22
Montmorency,"36,806","37,620","42,154",61,2.2,12.1,14
Muskegon,"38,141","39,769","44,000",53,4.3,10.6,35
Newaygo,"37,123","38,246","42,117",62,3.0,10.1,44
Oakland,"71,324","73,468","76,941",1,3.0,4.7,82
Oceana,"37,497","38,890","43,261",57,3.7,11.2,24
Ogemaw,"34,684","34,411","39,101",77,-0.8,13.6,6
Ontonagon,"38,911","41,340","45,761",37,6.2,10.7,34
Osceola,"36,203","37,980","41,965",64,4.9,10.5,39
Oscoda,"33,504","34,394","36,374",82,2.7,5.8,79
Otsego,"40,141","41,634","46,166",33,3.7,10.9,30
Ottawa,"48,391","49,484","52,759",12,2.3,6.6,76
Presque Isle,"39,668","41,339","45,872",35,4.2,11.0,27
Roscommon,"36,156","37,140","41,258",67,2.7,11.1,25
Saginaw,"39,289","41,659","45,328",39,6.0,8.8,62
St. Clair,"44,050","45,787","50,107",23,3.9,9.4,54
St. Joseph,"37,935","39,092","43,818",54,3.0,12.1,12
Sanilac,"37,459","38,005","44,093",52,1.5,16.0,2
Schoolcraft,"39,576","40,822","45,281",41,3.1,10.9,29
Shiawassee,"39,215","40,589","44,855",46,3.5,10.5,37
Tuscola,"36,808","38,014","43,073",58,3.3,13.3,7
Van Buren,"40,711","41,686","45,869",36,2.4,10.0,51
Washtenaw,"58,667","61,101","63,655",3,4.1,4.2,83
Wayne,"42,635","44,308","48,788",28,3.9,10.1,45
Wexford,"36,027","37,750","41,545",65,4.8,10.1,48
,,,,,,,
Minnesota,"56,986","58,426","62,005",--,2.5,6.1,--
Aitkin,"40,077","41,614","46,390",83,3.8,11.5,32
Anoka,"51,277","52,722","55,694",35,2.8,5.6,78
Becker,"46,679","48,065","51,772",54,3.0,7.7,62
Beltrami,"41,220","42,096","45,368",84,2.1,7.8,60
Benton,"43,993","45,690","49,403",69,3.9,8.1,56
Big Stone,"51,804","51,543","62,498",12,-0.5,21.3,8
Blue Earth,"44,716","45,586","49,288",70,1.9,8.1,57
Brown,"52,235","54,004","59,763",19,3.4,10.7,36
Carlton,"42,664","44,132","47,227",80,3.4,7.0,67
Carver,"71,681","73,023","75,677",2,1.9,3.6,87
Cass,"46,777","47,734","51,340",59,2.0,7.6,63
Chippewa,"46,774","51,352","56,148",29,9.8,9.3,45
Chisago,"48,693","50,229","53,140",48,3.2,5.8,76
Clay,"42,385","43,630","47,522",78,2.9,8.9,54
Clearwater,"43,596","44,428","49,654",66,1.9,11.8,31
