"01023","Choctaw","AL",5,CAGDP9,1,"...","All industry total","Thousands of chained 2012 dollars",640561,563145,528070,611959,682296,727825,612476,588259,393688,413492,456158,552141,552533,541724,509136,498608,505673,546076,492926,488633
"01025","Clarke","AL",5,CAGDP9,1,"...","All industry total","Thousands of chained 2012 dollars",672545,675639,677700,741440,779657,823559,813220,778451,762901,726678,742128,775244,803056,764622,748919,745289,728113,750365,736710,730025
"01027","Clay","AL",5,CAGDP9,1,"...","All industry total","Thousands of chained 2012 dollars",317661,320561,299284,333898,373011,409845,339655,312828,290050,294680,273570,280607,301458,309768,323820,344213,368300,444465,419318,407934
"01029","Cleburne","AL",5,CAGDP9,1,"...","All industry total","Thousands of chained 2012 dollars",329499,270009,264939,278398,294254,275258,253377,266944,255151,263741,244873,270115,284898,299402,314242,302950,297209,302347,274512,260207
"01031","Coffee","AL",5,CAGDP9,1,"...","All industry total","Thousands of chained 2012 dollars",1007082,1015813,1016275,1099644,1145119,1126087,1165082,1187262,1212410,1233677,1167718,1194263,1201238,1239318,1300567,1299125,1301763,1326701,1315749,1249738
"01033","Colbert","AL",5,CAGDP9,1,"...","All industry total","Thousands of chained 2012 dollars",1920841,1948067,2112315,2241309,2311806,2327415,2304721,2319433,2062081,2284030,2398743,2387061,2643717,2551770,2473891,2365945,2268306,2363329,2341000,2367932
"01035","Conecuh","AL",5,CAGDP9,1,"...","All industry total","Thousands of chained 2012 dollars",299986,297052,299870,328075,383717,441942,458270,465687,459159,401995,448031,500247,535588,488957,526627,563738,538017,488194,466540,435791
"01037","Coosa","AL",5,CAGDP9,1,"...","All industry total","Thousands of chained 2012 dollars",162956,162097,157498,166457,180892,192957,183518,166682,169437,167884,175712,164344,177802,163725,169464,177742,169996,178018,176482,180648
"01039","Covington","AL",5,CAGDP9,1,"...","All industry total","Thousands of chained 2012 dollars",988519,1046748,994662,1088752,1079717,1079205,1063114,1045703,1038753,1100486,1048214,1104844,1146609,1137016,1129562,1126837,1165463,1166050,1100109,1051514
"01041","Crenshaw","AL",5,CAGDP9,1,"...","All industry total","Thousands of chained 2012 dollars",266412,256119,275591,306679,367877,381232,336776,337009,326911,377849,370809,413931,442476,411822,423489,390742,419898,448270,428320,374307
"01043","Cullman","AL",5,CAGDP9,1,"...","All industry total","Thousands of chained 2012 dollars",2024681,2000973,2090695,2287461,2412173,2377411,2255071,2207657,2187006,2243668,2270412,2314988,2485582,2466060,2602055,2552660,2598508,2601327,2649646,2567437
"01045","Dale","AL",5,CAGDP9,1,"...","All industry total","Thousands of chained 2012 dollars",1974020,2032274,2094964,2247078,2497578,2600978,2621689,2727801,2785015,2913740,2811640,2767060,2793261,2627856,2668813,2603565,2591882,2514046,2522516,2427204
"01047","Dallas","AL",5,CAGDP9,1,"...","All industry total","Thousands of chained 2012 dollars",1263245,1220822,1207732,1290680,1355134,1381787,1313038,1243242,1201003,1187738,1193441,1213060,1216109,1197863,1083265,1108266,1118491,1122110,1102126,1053089
"01049","DeKalb","AL",5,CAGDP9,1,"...","All industry total","Thousands of chained 2012 dollars",1665761,1670217,1701610,1851815,1825508,1881909,1832587,1778914,1676105,1714656,1569220,1591167,1788775,1770694,1824325,1750675,1847471,1921659,1857673,1777822
"01051","Elmore","AL",5,CAGDP9,1,"...","All industry total","Thousands of chained 2012 dollars",1100289,1179265,1271018,1414722,1493377,1501676,1568769,1582791,1628357,1691771,1648571,1713508,1718968,1690970,1695263,1742986,1777348,1789092,1809270,1709154
"01053","Escambia","AL",5,CAGDP9,1,"...","All industry total","Thousands of chained 2012 dollars",1160030,1159683,1137053,1228510,1318124,1333634,1372246,1275326,1238349,1188177,1171842,1205440,1231335,1195066,1219146,1239022,1238865,1215138,1206764,1153705
"01055","Etowah","AL",5,CAGDP9,1,"...","All industry total","Thousands of chained 2012 dollars",2638640,2676509,2718854,2883531,2925703,2836172,2818873,2782811,2758102,2771244,2802342,2718162,2761488,2740766,2808719,2805072,2809493,2841049,2766192,2563314
"01057","Fayette","AL",5,CAGDP9,1,"...","All industry total","Thousands of chained 2012 dollars",385868,365258,372575,394819,407434,401841,384601,469992,454493,505864,461991,456089,396408,335071,340211,336911,320476,316814,321519,305877
"01059","Franklin","AL",5,CAGDP9,1,"...","All industry total","Thousands of chained 2012 dollars",773864,753252,779206,856246,888789,838949,851980,822223,790745,818965,878491,881771,917362,846784,846293,847580,907706,962638,926671,890896
"01061","Geneva","AL",5,CAGDP9,1,"...","All industry total","Thousands of chained 2012 dollars",477911,480296,483294,487461,519897,514198,516773,518598,504095,510554,465456,475968,501851,501199,524453,535355,503896,502402,526336,488863
"01063","Greene","AL",5,CAGDP9,1,"...","All industry total","Thousands of chained 2012 dollars",298662,333712,344038,375138,390369,383167,371189,321131,305229,299825,331808,280957,286633,273268,244475,234956,210124,209945,218149,197615
"01065","Hale","AL",5,CAGDP9,1,"...","All industry total","Thousands of chained 2012 dollars",265843,280792,314907,330305,347372,368430,319693,308725,300834,309458,298943,294981,291376,278687,282297,292543,271623,246837,241685,241617
"01067","Henry","AL",5,CAGDP9,1,"...","All industry total","Thousands of chained 2012 dollars",329531,354849,337475,344899,374767,372654,350085,348129,329744,319584,334712,328162,352849,344072,366314,378552,391731,396376,407934,389768
"01069","Houston","AL",5,CAGDP9,1,"...","All industry total","Thousands of chained 2012 dollars",3787789,3974861,4050574,4217739,4283885,4394184,4410108,4234994,4113444,4099204,4142515,4213275,4371341,4441293,4487579,4710544,4867988,4880057,4957322,4788927
"01071","Jackson","AL",5,CAGDP9,1,"...","All industry total","Thousands of chained 2012 dollars",1534751,1580559,1580518,1755015,1826404,1810909,1786404,1695953,1502826,1548503,1509215,1533684,1562686,1536059,1424146,1382694,1378489,1437962,1381755,1313862
"01073","Jefferson","AL",5,CAGDP9,1,"...","All industry total","Thousands of chained 2012 dollars",37681822,38747493,39024301,40928433,41697036,41121019,40981513,40929200,38983354,39024448,39954163,40592532,39863125,39452496,39416299,39851104,40364992,41028930,41244762,39199550
"01075","Lamar","AL",5,CAGDP9,1,"...","All industry total","Thousands of chained 2012 dollars",363789,342400,320993,343352,360305,350977,340172,309853,286451,287810,305015,321445,312541,309333,303713,300536,309283,304861,305015,287202
"01077","Lauderdale","AL",5,CAGDP9,1,"...","All industry total","Thousands of chained 2012 dollars",2243515,2203752,2233297,2362525,2440837,2462690,2463328,2421625,2414880,2430322,2454107,2513592,2523452,2416447,2374393,2335953,2374775,2371552,2367072,2298418
"01079","Lawrence","AL",5,CAGDP9,1,"...","All industry total","Thousands of chained 2012 dollars",675334,679818,823120,1073074,738194,667965,811658,824750,925165,905507,839975,799563,713246,618469,511795,457839,478923,504193,501518,524136
"01081","Lee","AL",5,CAGDP9,1,"...","All industry total","Thousands of chained 2012 dollars",2959582,3114486,3312376,3713798,3914405,4039378,4171738,4233694,4165524,4291653,4618312,4848573,4876619,4935200,5119613,5267271,5448360,5389074,5603187,5570011
"01083","Limestone","AL",5,CAGDP9,1,"...","All industry total","Thousands of chained 2012 dollars",2215527,2367745,2548879,2677309,2770304,2919374,2867902,2871519,2680044,2888081,2990908,3122053,3180492,3173690,3207964,3297593,3411295,3385841,3572973,3482707
"01085","Lowndes","AL",5,CAGDP9,1,"...","All industry total","Thousands of chained 2012 dollars",382069,327274,389530,436046,421017,461054,474895,421752,430515,495309,505552,457929,456072,450871,409660,422130,418011,399841,377807,363769
"01087","Macon","AL",5,CAGDP9,1,"...","All industry total","Thousands of chained 2012 dollars",445102,423256,427848,467962,477166,482939,482272,484832,482001,462855,479914,468004,497863,473117,440648,472720,487572,481537,478726,475374
"01089","Madison","AL",5,CAGDP9,1,"...","All industry total","Thousands of chained 2012 dollars",13064625,13503561,14268135,15481305,16462722,17075505,17804952,18421232,18787387,19751451,20075032,19993933,20238227,20279326,20561067,21151856,21789269,22720023,23670284,23543852
"01091","Marengo","AL",5,CAGDP9,1,"...","All industry total","Thousands of chained 2012 dollars",617423,621792,618573,665099,714972,724967,700992,654513,676934,666837,636262,654497,665607,677369,647482,655314,642708,672252,681595,674690
"01093","Marion","AL",5,CAGDP9,1,"...","All industry total","Thousands of chained 2012 dollars",742709,751096,738269,830892,905185,917695,874200,795519,779574,771593,755314,798185,798695,786496,803783,784859,798214,810967,792988,763653
"01095","Marshall","AL",5,CAGDP9,1,"...","All industry total","Thousands of chained 2012 dollars",2508813,2512662,2582636,2800918,2870867,2846160,2899621,2764389,2650630,2678445,2739067,2819556,2986432,2891804,3048056,3026434,3164613,3245603,3276199,3200499
"01097","Mobile","AL",5,CAGDP9,1,"...","All industry total","Thousands of chained 2012 dollars",14555473,14674308,14895845,15390687,16161820,17265238,17276837,17395442,17284291,17353556,17874736,17793777,17925074,17849817,17820369,18113255,18215505,18455706,18652926,18079418
"01099","Monroe","AL",5,CAGDP9,1,"...","All industry total","Thousands of chained 2012 dollars",798545,772642,780626,871699,919379,955793,876726,813751,768094,737712,677011,650456,659195,635612,644077,641767,658871,629022,599556,568233
"01101","Montgomery","AL",5,CAGDP9,1,"...","All industry total","Thousands of chained 2012 dollars",11024385,11217982,11471036,11906792,12474882,12768770,12746654,12547844,11982112,12144035,12236304,12223959,12206488,12047500,12230674,12527980,12569243,12524276,12558288,12182340
"01103","Morgan","AL",5,CAGDP9,1,"...","All industry total","Thousands of chained 2012 dollars",4196404,4132100,4371847,4803202,4811994,4964328,5002852,4792180,4576600,4659571,4523479,4571712,4676490,4827297,4825547,4973724,5034458,5104998,5135887,5092131
"01105","Perry","AL",5,CAGDP9,1,"...","All industry total","Thousands of chained 2012 dollars",185105,179970,195241,194370,221165,222356,208031,218746,212642,229708,214728,218779,228522,199909,195691,201532,199944,196637,192844,183394
"01107","Pickens","AL",5,CAGDP9,1,"...","All industry total","Thousands of chained 2012 dollars",349981,340837,343300,366314,396727,354986,358595,326628,360547,352743,312301,361890,420329,430029,434007,424370,433779,427099,429936,404316
"01109","Pike","AL",5,CAGDP9,1,"...","All industry total","Thousands of chained 2012 dollars",816714,858886,902923,988494,1039021,1066792,1095680,1137026,1139955,1212662,1149544,1165119,1161752,1222633,1249610,1291121,1304003,1285265,1286294,1235839
"01111","Randolph","AL",5,CAGDP9,1,"...","All industry total","Thousands of chained 2012 dollars",397517,421699,416922,471353,474142,464576,459663,431772,431314,427385,369895,400596,470347,480399,492864,473151,474844,484942,464111,425424
"01113","Russell","AL",5,CAGDP9,1,"...","All industry total","Thousands of chained 2012 dollars",1103679,1070561,1035360,1120840,1147813,1199353,1170120,1156053,1202012,1253739,1244905,1248452,1291922,1302031,1252496,1290405,1323460,1315599,1313851,1285414
"01115","St. Clair","AL",5,CAGDP9,1,"...","All industry total","Thousands of chained 2012 dollars",1224888,1284152,1321153,1420305,1483856,1474573,1497922,1499359,1418162,1496027,1557639,1776142,1756411,1765199,1798584,1798594,1822443,1872929,1871513,1824570
"01117","Shelby","AL",5,CAGDP9,1,"...","All industry total","Thousands of chained 2012 dollars",5428866,5798148,6161070,6619941,7599599,8017703,8783889,8668491,8212393,8325717,8571060,8689553,9084746,9361574,9975204,10110101,10468422,10673132,10814962,10500006
"01119","Sumter","AL",5,CAGDP9,1,"...","All industry total","Thousands of chained 2012 dollars",308669,306194,309032,315803,336139,328083,329827,291416,314542,325925,325473,343390,342828,338805,317934,322120,308764,302068,294189,283683
"01121","Talladega","AL",5,CAGDP9,1,"...","All industry total","Thousands of chained 2012 dollars",1986073,2135375,2348963,2707672,2927930,3008738,2929921,2763793,2218040,2471517,2549327,2699807,2804406,2776481,2779526,2825416,2867439,2894807,2864298,2756664
"01123","Tallapoosa","AL",5,CAGDP9,1,"...","All industry total","Thousands of chained 2012 dollars",937593,873347,943406,1065803,1172846,1034229,1033544,988251,920167,1043771,1118658,1157006,1119406,1150711,1194707,1250148,1190058,1213743,1265550,1225259
"01125","Tuscaloosa","AL",5,CAGDP9,1,"...","All industry total","Thousands of chained 2012 dollars",7237835,7652494,8197518,8846616,9361657,9413114,9880826,9507346,8677954,8996167,9926431,9419301,9567542,9280894,9101356,9394074,9788372,9884658,10491624,10098832
"01127","Walker","AL",5,CAGDP9,1,"...","All industry total","Thousands of chained 2012 dollars",1679067,1738106,1856071,1951832,2044854,1980361,1928289,1945900,1932590,1997711,1914883,1791224,1773197,1795176,1778206,1824222,1875503,1886388,1694530,1577350
"01129","Washington","AL",5,CAGDP9,1,"...","All industry total","Thousands of chained 2012 dollars",788084,716615,737537,802696,745876,820512,885625,792858,824346,898599,811234,747892,782531,831900,737171,774846,753456,742567,789922,732077
"01131","Wilcox","AL",5,CAGDP9,1,"...","All industry total","Thousands of chained 2012 dollars",370360,363143,338285,396439,420985,437303,404812,371882,415276,390389,347464,341004,368788,360140,359262,390303,392873,416036,384636,385496
"01133","Winston","AL",5,CAGDP9,1,"...","All industry total","Thousands of chained 2012 dollars",634471,632461,610403,656360,701256,707787,670020,618643,578729,620345,642059,632865,664221,621935,632909,623271,644729,645050,698066,700955
"05001","Arkansas","AR",5,CAGDP9,1,"...","All industry total","Thousands of chained 2012 dollars",720546,760498,836814,881251,839047,877891,825971,857555,929894,903409,896295,902291,991485,942168,967377,1001794,943684,971183,966397,988706
"05003","Ashley","AR",5,CAGDP9,1,"...","All industry total","Thousands of chained 2012 dollars",778763,800095,773168,791548,835457,908398,899744,889009,839784,861797,898014,859936,847795,806306,768127,777666,693283,680615,677007,610346
"05005","Baxter","AR",5,CAGDP9,1,"...","All industry total","Thousands of chained 2012 dollars",979393,1008238,1004353,1022827,1094730,1140782,1153591,1184285,1088022,1124397,1142651,1091372,1110937,1153267,1148635,1166983,1268312,1285220,1278578,1239729
"05007","Benton","AR",5,CAGDP9,1,"...","All industry total","Thousands of chained 2012 dollars",6742365,7443128,7859797,8473456,9161349,9389886,9385348,9302164,8949510,9455393,9802254,10281522,10983054,11582241,12199019,12331775,13147706,13639837,14096756,14467239
"05009","Boone","AR",5,CAGDP9,1,"...","All industry total","Thousands of chained 2012 dollars",1017403,1055264,1037448,1089822,1140247,1185656,1166164,1164806,1080765,1132024,1144700,1123407,1101563,1128570,1093033,1131645,1170359,1176932,1170571,1158133
"05011","Bradley","AR",5,CAGDP9,1,"...","All industry total","Thousands of chained 2012 dollars",254205,267148,294986,310631,316392,299522,289769,267561,247234,275611,268092,292585,284950,286337,297498,292350,294601,313707,298606,284345
"05013","Calhoun","AR",5,CAGDP9,1,"...","All industry total","Thousands of chained 2012 dollars",291224,302541,328677,355524,361423,392022,373840,426873,386041,379492,346962,268857,283914,302657,332297,333444,330193,320358,310815,307483
"05015","Carroll","AR",5,CAGDP9,1,"...","All industry total","Thousands of chained 2012 dollars",650497,684270,712315,832883,841487,821597,731382,712693,635608,682786,686290,672171,726283,793108,760072,725594,775461,783382,790413,773575
"05017","Chicot","AR",5,CAGDP9,1,"...","All industry total","Thousands of chained 2012 dollars",303907,293534,319050,316427,319373,308091,307738,288806,318082,308597,315938,330484,311327,255803,226434,261490,251713,247654,242945,249801
"05019","Clark","AR",5,CAGDP9,1,"...","All industry total","Thousands of chained 2012 dollars",702287,698063,714630,711804,728414,712016,731317,769979,778149,740097,729177,704481,723827,725714,692624,697879,703202,727789,714943,680628
"05021","Clay","AR",5,CAGDP9,1,"...","All industry total","Thousands of chained 2012 dollars",368949,391019,445254,426711,421025,422854,379919,389507,444699,420712,370958,377406,388956,346285,304776,295065,336667,315184,298149,303924
"05023","Cleburne","AR",5,CAGDP9,1,"...","All industry total","Thousands of chained 2012 dollars",458422,511068,489945,508506,535805,543065,550842,604033,622653,747085,830831,809978,825605,871949,849823,765562,727170,698553,715489,689702
"05025","Cleveland","AR",5,CAGDP9,1,"...","All industry total","Thousands of chained 2012 dollars",105765,114580,102170,124416,131005,113990,116525,123337,112976,108226,80917,109317,117409,132477,143777,134575,134232,153491,118887,96315
"05027","Columbia","AR",5,CAGDP9,1,"...","All industry total","Thousands of chained 2012 dollars",705548,758980,768045,803980,828235,891803,904839,899790,808546,818630,865369,890930,870592,879193,863659,835133,835073,859980,833191,770150
"05029","Conway","AR",5,CAGDP9,1,"...","All industry total","Thousands of chained 2012 dollars",470439,482902,475482,501350,515097,527171,616520,753245,850938,868053,916157,925030,923079,962138,916958,867157,779821,769677,749372,732630
"05031","Craighead","AR",5,CAGDP9,1,"...","All industry total","Thousands of chained 2012 dollars",2830231,2991574,3189546,3344326,3498833,3527779,3410308,3444173,3429629,3652334,3795025,3759055,3878198,3822827,3901887,3931740,4049587,4182226,4334486,4256903
"05033","Crawford","AR",5,CAGDP9,1,"...","All industry total","Thousands of chained 2012 dollars",1299723,1310354,1374727,1436334,1512140,1599335,1553597,1508935,1492460,1588555,1573296,1560255,1575289,1563791,1493167,1476409,1510848,1526442,1547475,1528616
"05035","Crittenden","AR",5,CAGDP9,1,"...","All industry total","Thousands of chained 2012 dollars",1483944,1392544,1465443,1474279,1513600,1599877,1559747,1494894,1447699,1443790,1481457,1404705,1519123,1540197,1542186,1521610,1628023,1638514,1679445,1598537
